mode,setting,seed,round,accuracy,f1_macro,f1_weighted
dirichlet_01,$\alpha=0.1$,2026,17,0.7676661353686427,0.3406666711912928,0.7160945615626418
dirichlet_01,$\alpha=0.1$,2026,18,0.7682374235663999,0.34506823484592064,0.7197001106269226
dirichlet_01,$\alpha=0.1$,2026,19,0.7633238689921905,0.3351867797419005,0.703966913855705
dirichlet_01,$\alpha=0.1$,2026,20,0.7649106219614609,0.33475785353197707,0.7075891389852158
dirichlet_01,$\alpha=0.1$,3407,1,0.6773916504325603,0.2603370161498174,0.604119353032245
dirichlet_01,$\alpha=0.1$,3407,2,0.7711776534908565,0.3494517879422798,0.7276547907718227
dirichlet_01,$\alpha=0.1$,3407,3,0.7637190099956391,0.3546824694051006,0.7353562623467249
dirichlet_01,$\alpha=0.1$,3407,4,0.7588906725775952,0.3541991398308101,0.7327993848845651
dirichlet_01,$\alpha=0.1$,3407,5,0.7534858101533147,0.3547136762085242,0.7310717837326672
dirichlet_01,$\alpha=0.1$,3407,6,0.7560594634842105,0.3568216160149296,0.7348863657339526
dirichlet_01,$\alpha=0.1$,3407,7,0.7498033816452719,0.3574259617587707,0.732716911778868
dirichlet_01,$\alpha=0.1$,3407,8,0.7526350668121548,0.35855421461092035,0.7354665836854594
dirichlet_01,$\alpha=0.1$,3407,9,0.7569873307320677,0.36375033175960003,0.7385940584545169
dirichlet_01,$\alpha=0.1$,3407,10,0.7605707359524992,0.36121597237470326,0.7365570252994086
dirichlet_01,$\alpha=0.1$,3407,11,0.7775113353099905,0.3661325555651629,0.7468167872969924
dirichlet_01,$\alpha=0.1$,3407,12,0.7745396845346572,0.3568146071786926,0.7354327619406286
dirichlet_01,$\alpha=0.1$,3407,13,0.7719888827316717,0.35618912322082563,0.7338411627106127
dirichlet_01,$\alpha=0.1$,3407,14,0.771390458344521,0.35060834281661446,0.728278351525133
dirichlet_01,$\alpha=0.1$,3407,15,0.7682174284794784,0.3434808025119062,0.7168181215899174
dirichlet_01,$\alpha=0.1$,3407,16,0.7705473321793311,0.34653975947534027,0.7220311191316316
dirichlet_01,$\alpha=0.1$,3407,17,0.7651891249578675,0.3379879242467103,0.707487742744154
dirichlet_01,$\alpha=0.1$,3407,18,0.7647192404152122,0.34283037374436764,0.7065762589568416
dirichlet_01,$\alpha=0.1$,3407,19,0.7686387535253243,0.3476339934193442,0.7149455393503671
dirichlet_01,$\alpha=0.1$,3407,20,0.7654443003528657,0.3435857167182301,0.7078492880351253
