mode,setting,round,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
iid,IID,9,0.8238040875035786,0.0003483743521286273,0.6100403843797132,0.0009216201589832014,0.8072668794297314,0.0009214180290244877
iid,IID,10,0.8243720431868486,0.00026058244347081083,0.611816146477621,0.0011639164256091459,0.8083330022361791,0.001373050220065158
iid,IID,11,0.8249888757492604,0.0002806510138605515,0.6128069269737516,0.0007799901907502224,0.8087590341212788,0.0010325142301145461
iid,IID,12,0.8253635455922894,0.00030933654790966404,0.613802930805723,0.0010261221355727487,0.8094835567657892,0.0013752601088450696
iid,IID,13,0.8258064526367171,0.00030679837457331307,0.6143485372964489,0.0007579097652083942,0.8096976188732388,0.0011607607735782774
iid,IID,14,0.826184137611901,0.00026134267045369426,0.6156529887073487,0.0008057919341524153,0.8106931631203961,0.0010381430265295401
iid,IID,15,0.826514373928438,0.0003526253401395416,0.6157303450370518,0.0006765415673321158,0.8103451050709043,0.0008198182742342918
iid,IID,16,0.8268087460414488,0.00020288943301832184,0.6167784152136436,0.000887270546996238,0.8112984913084018,0.0012870366236227984
iid,IID,17,0.8270988334929766,0.0001721579017496751,0.6193725761686624,0.004841069615583849,0.8112790386177217,0.0007354620749052282
iid,IID,18,0.8273565479466315,0.00015613783420593874,0.6207109715694193,0.004915463777337444,0.8110988443401136,0.0007009177295646213
iid,IID,19,0.8276918623804818,0.0001440380017998864,0.6212212287969763,0.0047985563679283656,0.8114954630534799,0.000497937745674128
iid,IID,20,0.8278654705161334,0.00011970795296629397,0.6234605224709654,0.005697565158209577,0.8117708999327472,0.0005949837162497585
